Concept,UW-58 Colors,True Rating,Top50_Ball,Top50_Sector,Top50_Sector+Category,Photo50_Ball,Photo50_Sector,Photo50_Sector+Category,Cartoon50_Ball,Cartoon50_Sector,Cartoon50_Sector+Category,Lin et al
lime,55,0.506342593,0.364446972,0.390635645,0.509069217,0.274850737,0.302727032,0.374141118,0.405791528,0.402995292,0.515514057,0.101627508
lime,56,0.773842593,0.293067676,0.335588177,0.473831578,0.219321725,0.243941214,0.335121769,0.400586596,0.3794898,0.498709762,0.12507449
lime,57,0.251527778,0.317156961,0.385441277,0.34428601,0.278005362,0.327793726,0.313688814,0.310827359,0.360497563,0.306900889,0.011500185
lime,58,0.15962963,0.195617936,0.236065026,0.217026381,0.210742479,0.254673944,0.250081175,0.185398889,0.197411816,0.184835691,0.001214937
lemon,1,0.12087963,0.181704097,0.161883414,0.158252958,0.187623007,0.167488498,0.166256423,0.186880876,0.15591399,0.14891564,0.001486223
lemon,2,0.075185185,0.177326589,0.154459282,0.153536528,0.183620859,0.161882093,0.162431575,0.191104226,0.155718678,0.149325224,0.002420248
lemon,3,0.084027778,0.181994936,0.164048329,0.159717713,0.190179958,0.179132211,0.173454757,0.192435669,0.15697779,0.150235797,0.002003053
lemon,4,0.127175926,0.159265928,0.165472689,0.160931866,0.196426203,0.177787554,0.173158035,0.124080373,0.156454143,0.149754552,0.000957373
lemon,5,0.076296296,0.172517683,0.149672794,0.143163979,0.174568972,0.154971903,0.14665869,0.182670643,0.158360006,0.150928702,0.00021787
lemon,6,0.107175926,0.178099952,0.159087067,0.148968875,0.182362422,0.169197757,0.155852962,0.185502036,0.159972478,0.152050056,0.000158307
lemon,7,0.120324074,0.181035961,0.159712586,0.149388177,0.187889881,0.166945806,0.154748875,0.188458817,0.159703638,0.151838187,9.21E-05
lemon,8,0.080694444,0.173342447,0.155981384,0.147443567,0.174301012,0.15678942,0.147975586,0.177408075,0.153664392,0.147269429,0.000226928
lemon,9,0.089537037,0.17328551,0.168970477,0.155368934,0.174154517,0.170084396,0.156097672,0.176223003,0.156489775,0.149109121,0.000180531
lemon,10,0.090648148,0.173298936,0.179324831,0.167043519,0.174437935,0.162770196,0.162930975,0.17590528,0.178371753,0.164510217,0.001279744
lemon,11,0.097083333,0.1764646,0.171616299,0.164277513,0.177965288,0.178535609,0.172873814,0.176060871,0.155507123,0.148540425,0.003287977
lemon,12,0.090833333,0.173780717,0.161014417,0.157890848,0.174870939,0.162475794,0.163160691,0.176899527,0.153011166,0.146992184,0.003866279
lemon,13,0.09037037,0.176292784,0.17455358,0.16630484,0.177458753,0.1766905,0.172037604,0.175892811,0.155375155,0.148461409,0.000720232
lemon,14,0.09125,0.173314987,0.151283552,0.14440378,0.174465237,0.149899581,0.143491483,0.176466996,0.150753409,0.145393514,0.000230171
lemon,15,0.104907407,0.173202216,0.184464281,0.165048982,0.174328537,0.170297834,0.156408264,0.176345957,0.160937503,0.151983651,0.000198939
lemon,16,0.092361111,0.173248434,0.146880314,0.147093746,0.174401073,0.144582418,0.151369856,0.175613095,0.165653892,0.155899953,0.000308876
lemon,17,0.095972222,0.174142781,0.184501368,0.172205163,0.175179433,0.167835972,0.166365624,0.175618656,0.177858439,0.162777916,0.003865247
lemon,18,0.087453704,0.173433462,0.144048265,0.147022675,0.174595634,0.143439909,0.15070646,0.176226512,0.148691357,0.143935948,0.004378732
lemon,19,0.079351852,0.173366092,0.1473589,0.149228865,0.174524207,0.144989669,0.151726867,0.176033036,0.165399701,0.154352738,0.000523855
lemon,20,0.084027778,0.173247035,0.143274948,0.146769532,0.174399907,0.142673423,0.150385928,0.175485795,0.148624302,0.143888028,0.000208364
lemon,21,0.079351852,0.191581932,0.155779546,0.184322718,0.205773159,0.162361589,0.187836035,0.20075388,0.153080075,0.159985337,0.000583494
