Participant,Concept,Color,Rating
1,Lime,49,0.2725
1,Lime,50,0.61
1,Lime,51,0.24
1,Lime,52,0.395
1,Lime,53,0.2325
1,Lime,54,0.045
1,Lime,55,0.84
1,Lime,56,1
1,Lime,57,0.25
1,Lime,58,0.3875
1,Lemon,1,0.32
1,Lemon,2,0.155
1,Lemon,3,0.1425
1,Lemon,4,0.3175
1,Lemon,5,0.0875
1,Lemon,6,0.2125
1,Lemon,7,0.3375
1,Lemon,8,0.1775
1,Lemon,9,0.2075
1,Lemon,10,0.13
1,Lemon,11,0.2975
1,Lemon,12,0.09
1,Lemon,13,0.215
1,Lemon,14,0.135
1,Lemon,15,0.19
1,Lemon,16,0.185
1,Lemon,17,0.1725
1,Lemon,18,0
1,Lemon,19,0.1125
1,Lemon,20,0.105
1,Lemon,21,0.4
1,Lemon,22,0.185
1,Lemon,23,0.25
1,Lemon,24,0.1175
1,Lemon,25,0.1875
1,Lemon,26,0.31
1,Lemon,27,0.31
1,Lemon,28,0.2775
1,Lemon,29,0.53
1,Lemon,30,0.33
1,Lemon,31,0.125
1,Lemon,32,0.23
1,Lemon,33,0.1375
1,Lemon,34,0.665
1,Lemon,35,0.6625
1,Lemon,36,0.1275
1,Lemon,37,0.7
1,Lemon,38,0.585
1,Lemon,39,0.79
1,Lemon,40,0.535
1,Lemon,41,0.5575
1,Lemon,42,0.71
1,Lemon,43,0.225
1,Lemon,44,0.1975
1,Lemon,45,0.7225
1,Lemon,46,0.65
1,Lemon,47,0.3175
1,Lemon,48,0.1725
1,Lemon,49,0.8375
1,Lemon,50,0.825
1,Lemon,51,0.6425
1,Lemon,52,0.6075
1,Lemon,53,0.5025
1,Lemon,54,0.5
1,Lemon,55,0.85
1,Lemon,56,0.6
1,Lemon,57,1
1,Lemon,58,0.8725
2,Mango,1,0
2,Mango,2,0
2,Mango,3,0
2,Mango,4,0
2,Mango,5,0
2,Mango,6,0
2,Mango,7,0
2,Mango,8,0
2,Mango,9,0
2,Mango,10,0
2,Mango,11,0
2,Mango,12,0
2,Mango,13,0
2,Mango,14,0
2,Mango,15,0
2,Mango,16,0
2,Mango,17,0
2,Mango,18,0
2,Mango,19,0
2,Mango,20,0
2,Mango,21,0
2,Mango,22,0
